Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,-,-
"Alemanha, República Democrática",225.086,393.482
Angola,54.786,84.235
Anguilla,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,8.235,10.651
Argentina,162,4.523
Aruba,-,-
Austrália,1.014,9.195
Áustria,-,-
Bahamas,-,-
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,125.962,58.764
Belice,-,-
Benin,-,-
Bolívia,40.463,20.729
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,15.664,73.445
Catar,-,-
"Cayman, Ilhas",-,-
Chile,1.475,4.297
China,1.553.416,482.400
Chipre,-,-
Cingapura,2.419,6.110
Colômbia,-,-
Comores,-,-
Congo,-,-
"Coreia, Republica Sul",-,-
Costa do Marfim,-,-
Costa Rica,-,-
Croácia,-,-
Cuba,-,-
Curaçao,-,-
Dinamarca,1.980,21.780
Dominica,-,-
El Salvador,55,100
Emirados Arabes Unidos,1.398,4.032
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,2.181,4.050
Estados Unidos,372.319,660.066
Estônia,5.438,10.802
Filipinas,-,-
Finlândia,-,-
França,-,-
Gana,-,-
Gibraltar,-,-
Grécia,-,-
Guatemala,20,20
Guiana,-,-
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,169,272
Haiti,4.500,5.863
Honduras,14,30
Hong Kong,50.319,27.188
Hungria,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Itália,1.817,5.251
Jamaica,-,-
Japão,217.974,283.436
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Luxemburgo,7.845,42.124
Malásia,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,-,-
Montenegro,-,-
Namibia,-,-
Nicaragua,24,24
Nigéria,41,115
Noruega,-,-
Nova Caledônia,-,-
Nova Zelândia,-,-
Países Baixos,171.654,136.991
Panamá,24,30
Paraguai,486.927,392.087
Peru,-,-
Polônia,6.982,35.797
Porto Rico,-,-
Portugal,141.000,168.923
Quênia,-,-
Reino Unido,30.092,68.788
República Dominicana,-,-
Rússia,21.912.914,5.732.280
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Suazilândia,-,-
Suécia,28.334,52.826
Suíça,27.653,81.319
Suriname,3.830,12.918
Tailândia,-,-
Taiwan (FORMOSA),-,-
Tanzânia,-,-
"Tcheca, República",9.269,43.902
Togo,-,-
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,-,-
Tuvalu,-,-
Uruguai,-,-
Vanuatu,-,-
Venezuela,-,-
Vietnã,743,2.143
Total,25.514.198,8.940.988
