,pais_de_origem_brasil,pais_de_destino,quantidade_em_litros_de_vinho_exportado,valor_em_us
0,Brasil,Afeganistão,11,46
1,Brasil,África do Sul,30,116
2,Brasil,"Alemanha, República Democrática",1020933,2739079
3,Brasil,Angola,190731,621181
4,Brasil,Anguilla,0,0
5,Brasil,Antígua e Barbuda,1685,5872
6,Brasil,Antilhas Holandesas,114027,160864
7,Brasil,Argentina,50532,218452
8,Brasil,Aruba,1350,2435
9,Brasil,Austrália,273290,457230
10,Brasil,Áustria,675,5220
11,Brasil,Bahamas,12886,70829
12,Brasil,Bangladesh,5,49
13,Brasil,Barbados,395,1407
14,Brasil,Barein,792,3066
15,Brasil,Bélgica,402916,1392832
16,Brasil,Belice,9,29
17,Brasil,Benin,15399,37765
18,Brasil,Bolívia,176876,244657
19,Brasil,Bósnia-Herzegovina,45,52
20,Brasil,Brasil,31,46
21,Brasil,Bulgária,117,1579
22,Brasil,Cabo Verde,12625,50363
23,Brasil,Camarões,1749,7654
24,Brasil,Canadá,198480,1110471
25,Brasil,Catar,13339,81608
26,Brasil,"Cayman, Ilhas",265,1004
27,Brasil,Chile,82041,129939
28,Brasil,China,2411701,4372268
29,Brasil,Chipre,5284,13638
30,Brasil,Cingapura,34837,108474
31,Brasil,Colômbia,35669,73949
32,Brasil,Comores,9,25
33,Brasil,Congo,360,570
34,Brasil,"Coreia, Republica Sul",4900,19872
35,Brasil,Costa do Marfim,0,0
36,Brasil,Costa Rica,55,200
37,Brasil,Croácia,21,123
38,Brasil,Cuba,273697,309724
39,Brasil,Curaçao,150446,253733
40,Brasil,Dinamarca,81582,386745
41,Brasil,Dominica,460,634
42,Brasil,El Salvador,55,100
43,Brasil,Emirados Arabes Unidos,12531,59378
44,Brasil,Equador,6482,7412
45,Brasil,"Eslovaca, Republica",585,16063
46,Brasil,Espanha,1993000,3808552
47,Brasil,Estados Unidos,3822251,10046712
48,Brasil,Estônia,107768,144886
49,Brasil,Filipinas,13847,30607
50,Brasil,Finlândia,86763,537432
51,Brasil,França,318208,706582
52,Brasil,Gana,66229,90377
53,Brasil,Gibraltar,792,2953
54,Brasil,Grécia,8560,23830
55,Brasil,Guatemala,18964,37839
56,Brasil,Guiana,4569,14067
57,Brasil,Guiana Francesa,90,32
58,Brasil,Guine Bissau,48,90
59,Brasil,Guine Equatorial,20684,81903
60,Brasil,Haiti,1238100,1586194
61,Brasil,Honduras,176,610
62,Brasil,Hong Kong,139761,415676
63,Brasil,Hungria,627,4686
64,Brasil,Ilha de Man,136,741
65,Brasil,Ilhas Virgens,0,0
66,Brasil,India,71,369
67,Brasil,Indonésia,5,6
68,Brasil,Irã,137,322
69,Brasil,Iraque,0,0
70,Brasil,Irlanda,16970,104717
71,Brasil,Itália,31677,155007
72,Brasil,Jamaica,0,0
73,Brasil,Japão,1502311,2612375
74,Brasil,Jordânia,12,52
75,Brasil,Letônia,387,3723
76,Brasil,Líbano,0,0
77,Brasil,Libéria,17808,63852
78,Brasil,Luxemburgo,67290,371165
79,Brasil,Malásia,63,143
80,Brasil,Malta,11095,35162
81,Brasil,"Marshall, Ilhas",23113,60422
82,Brasil,Mauritânia,9,85
83,Brasil,México,8773,59229
84,Brasil,Montenegro,32,131
85,Brasil,Namibia,340,722
86,Brasil,Nicaragua,24,24
87,Brasil,Nigéria,129407,208177
88,Brasil,Noruega,41688,232180
89,Brasil,Nova Caledônia,7227,11924
90,Brasil,Nova Zelândia,13967,75053
91,Brasil,Países Baixos,1410166,4119122
92,Brasil,Panamá,51476,114154
93,Brasil,Paraguai,25423559,32364257
94,Brasil,Peru,24668,53789
95,Brasil,Polônia,154475,611080
96,Brasil,Porto Rico,0,0
97,Brasil,Portugal,526742,739088
98,Brasil,Quênia,17471,45547
99,Brasil,Reino Unido,1305329,4717554
100,Brasil,República Dominicana,601,2438
101,Brasil,Rússia,39230153,25559026
102,Brasil,São Tomé e Príncipe,2184,2357
103,Brasil,São Vicente e Granadinas,8,48
104,Brasil,Senegal,0,0
105,Brasil,Serra Leoa,15783,26722
106,Brasil,Singapura,4504,14346
107,Brasil,Suazilândia,10,24
108,Brasil,Suécia,99449,350827
109,Brasil,Suíça,177400,956117
110,Brasil,Suriname,28576,47633
111,Brasil,Tailândia,2843,7179
112,Brasil,Taiwan (FORMOSA),82458,287987
113,Brasil,Tanzânia,0,0
114,Brasil,"Tcheca, República",150527,536018
115,Brasil,Togo,7061,9823
116,Brasil,Trinidade Tobago,891,4320
117,Brasil,Tunísia,0,0
118,Brasil,Turquia,818,1237
119,Brasil,Tuvalu,2,4
120,Brasil,Uruguai,155478,222511
121,Brasil,Vanuatu,18,31
122,Brasil,Venezuela,52995,83847
123,Brasil,Vietnã,9669,12736
