,Unnamed: 0,Posição,País (ou território dependente),Estimativa da ONU,Data,Estimativa Oficial
0,,1,Índia,1 429 921 746,2023,Estimativa oficial
1,,2,China,1 426 391 281,2023,Censo oficial
2,,3,Estados Unidos,339 987 103,2023,Censo oficial
3,,4,Indonésia,277 184 719,2023,Estimativa oficial
4,,5,Paquistão,240 215 932,2023,Estimativa oficial
5,,6,Nigéria,223 899 057,2023,Estimativa oficial
6,,7,Brasil,216 877 028,2023,Estimativa oficial
7,,8,Bangladesh,172 452 382,2023,Estimativa oficial
8,,9,Rússia,148 221 749,2023,Estimativa oficial
9,,10,México,134 127 189,2023,Estimativa oficial
10,,11,Etiópia,125 092 825,2023,Estimativa oficial
11,,12,Japão,124 127 899,2023,Estimativa oficial
12,,13,Filipinas,109 581 078,2020,Estimativa oficial
13,,14,Egito,102 334 404,2020,Estimativa oficial
14,,15,Vietname,97 338 579,2020,Estimativa oficial
15,,16,República Democrática do Congo,89 561 403,2020,Estimativa oficial
16,,17,Turquia,84 339 067,2020,Estimativa oficial
17,,18,Irã,83 992 949,2020,Estimativa oficial
18,,19,Alemanha,83 783 942,2020,Estimativa oficial
19,,20,Tailândia,69 799 978,2020,Estimativa oficial
20,,21,Reino Unido,67 886 011,2020,Estimativa oficial
21,,22,França,65 273 511,2020,Estimativa oficial
22,,23,Itália,60 461 826,2020,Estimativa oficial
23,,24,Tanzânia,59 734 218,2020,Estimativa oficial
24,,25,África do Sul,59 308 690,2020,Estimativa oficial
25,,26,Myanmar,54 409 800,2020,Estimativa oficial
26,,27,Quénia,53 771 296,2020,Estimativa oficial
27,,28,Coreia do Sul,51 269 185,2020,Estimativa oficial
28,,29,Colômbia,50 882 891,2020,Estimativa oficial
29,,30,Espanha,46 754 778,2020,Estimativa oficial
30,,31,Uganda,45 741 007,2020,Estimativa oficial
31,,32,Argentina,45 195 774,2020,Estimativa oficial
32,,33,Argélia,43 851 044,2020,Estimativa oficial
33,,34,Sudão,43 849 260,2020,Estimativa oficial
34,,35,Ucrânia,43 733 762,2020,Estimativa oficial
35,,36,Iraque,40 222 493,2020,Estimativa oficial
36,,37,Afeganistão,38 928 346,2020,Estimativa oficial
37,,38,Polónia,37 846 611,2020,Estimativa oficial
38,,39,Canadá,37 742 154,2020,Estimativa oficial
39,,40,Marrocos,36 910 560,2020,Estimativa oficial
40,,41,Arábia Saudita,34 813 871,2020,Estimativa oficial
41,,42,Uzbequistão,33 469 203,2020,Estimativa oficial
