pais_origem,pais_destino,iso_cod,litros_exportados,valor_exportacao,temp_anual_media
Brasil,Rússia,RUS,39230153,25559026,-5.35
Brasil,Paraguai,PRY,25423559,32364257,23.55
Brasil,Estados Unidos,USA,3822251,10046712,8.55
Brasil,China,CHN,2411701,4372268,7.5
Brasil,Espanha,ESP,1993000,3808552,13.3
Brasil,Japão,JPN,1502311,2612375,11.15
Brasil,Países Baixos,NLD,1410166,4119122,9.25
Brasil,Reino Unido,GBR,1305329,4717554,8.45
Brasil,Haiti,HTI,1238100,1586194,24.9
Brasil,Alemanha,DEU,1020933,2739079,8.4
Brasil,Portugal,PRT,526742,739088,15.15
Brasil,Bélgica,BEL,402916,1392832,9.55
Brasil,França,FRA,318208,706582,10.7
Brasil,Cuba,CUB,273697,309724,25.2
Brasil,Austrália,AUS,273290,457230,21.65
Brasil,Canadá,CAN,198480,1110471,-5.1
Brasil,Angola,AGO,190731,621181,21.55
Brasil,Suíça,CHE,177400,956117,5.1
Brasil,Bolívia,BOL,176876,244657,21.55
Brasil,Uruguai,URY,155478,222511,17.55
Brasil,Polônia,POL,154475,611080,7.85
Brasil,República Tcheca,CZE,150527,536018,7.55
Brasil,Curaçao,CUW,150446,253733,28.0
Brasil,Hong Kong,HKG,139761,415676,21.45
Brasil,Nigéria,NGA,129407,208177,27.0
Brasil,Antilhas Holandesas,,114027,160864,28.0
Brasil,Estônia,EST,107768,144886,2.0
Brasil,Suécia,SWE,99449,350827,1.75
Brasil,Finlândia,FIN,86763,537432,1.55
Brasil,Taiwan,TWN,82458,287987,24.0
Brasil,Chile,CHL,82041,129939,8.45
Brasil,Dinamarca,DNK,81582,386745,-3.7
Brasil,Luxemburgo,LUX,67290,371165,8.65
Brasil,Gana,GHA,66229,90377,27.2
Brasil,Venezuela,VEN,52995,83847,25.35
Brasil,Panamá,PAN,51476,114154,25.4
Brasil,Argentina,ARG,50532,218452,14.8
Brasil,Noruega,NOR,41688,232180,1.5
Brasil,Colômbia,COL,35669,73949,24.5
Brasil,Singapura,SGP,34837,108474,26.45
Brasil,Itália,ITA,31677,155007,13.45
Brasil,Suriname,SUR,28576,47633,25.7
Brasil,Peru,PER,24668,53789,19.6
Brasil,"Marshall, Ilhas",MHL,23113,60422,27.4
Brasil,Guiné Equatorial,GNQ,20684,81903,24.55
Brasil,Guatemala,GTM,18964,37839,23.45
Brasil,Libéria,LBR,17808,63852,25.3
Brasil,Quênia,KEN,17471,45547,24.75
Brasil,Irlanda,IRL,16970,104717,9.3
Brasil,Serra Leoa,SLE,15783,26722,26.05
Brasil,Benim,BEN,15399,37765,27.55
Brasil,Nova Zelândia,NZL,13967,75053,19.53
Brasil,Filipinas,PHL,13847,30607,25.55
Brasil,Catar,QAT,13339,81608,27.15
Brasil,Bahamas,BHS,12886,70829,24.85
Brasil,Cabo Verde,CPV,12625,50363,23.3
Brasil,Emirados Árabes Unidos,ARE,12531,59378,26.65
Brasil,Malta,MLT,11095,35162,19.2
Brasil,Vietnã,VNM,9669,12736,24.45
Brasil,México,MEX,8773,59229,21.0
Brasil,Grécia,GRC,8560,23830,15.4
Brasil,Nova Caledônia,NCL,7227,11924,26.0
Brasil,Togo,TGO,7061,9823,27.15
Brasil,Equador,ECU,6482,7412,21.85
Brasil,Chipre,CYP,5284,13638,18.45
Brasil,Coréia do Sul,KOR,4900,19872,11.5
Brasil,Guiana,GUY,4569,14067,26.0
Brasil,Singapura,SGP,4504,14346,26.45
Brasil,Tailândia,THA,2843,7179,26.3
Brasil,São Tomé e Príncipe,STP,2184,2357,23.75
Brasil,Camarões,CMR,1749,7654,24.6
Brasil,Antígua e Barbuda,ATG,1685,5872,25.85
Brasil,Aruba,ABW,1350,2435,28.0
