index,pais_origem,pais_destino,iso_cod,litros_exportados,valor_exportacao,preco_litro,populacao,temp_anual_media,litros_exportados_per_capita
1,Brasil,Paraguai,PRY,25423559,32364257,1.273002611475443,7132538,23.55,3.564447746370226
22,Brasil,Curaçao,CUW,150446,253733,1.6865386916235725,164093,28.0,0.9168337467168008
25,Brasil,Antilhas Holandesas,,114027,160864,1.410753593447166,227049,28.0,0.502213178653066
43,Brasil,"Marshall, Ilhas",MHL,23113,60422,2.6141998009778047,59190,27.4,0.39048825815171484
0,Brasil,Rússia,RUS,39230153,25559026,0.6515148182062914,148221749,-5.35,0.2646720421575919
8,Brasil,Haiti,HTI,1238100,1586194,1.2811517648009043,11402528,24.9,0.1085811848039312
32,Brasil,Luxemburgo,LUX,67290,371165,5.515901322633378,625978,8.65,0.10749579058688964
6,Brasil,Países Baixos,NLD,1410166,4119122,2.921019227523568,17134872,9.25,0.08229801775000128
26,Brasil,Estônia,EST,107768,144886,1.3444250612426694,1326335,2.0,0.08125247392250072
10,Brasil,Portugal,PRT,526742,739088,1.4031309445610944,10344802,15.15,0.05091851927180433
41,Brasil,Suriname,SUR,28576,47633,1.6668882978723405,586632,25.7,0.04871196934364303
19,Brasil,Uruguai,URY,155478,222511,1.43114138334684,3473730,17.55,0.04475822818699208
4,Brasil,Espanha,ESP,1993000,3808552,1.9109643753135976,46754778,13.3,0.04262665946141376
11,Brasil,Bélgica,BEL,402916,1392832,3.45687934954184,11589623,9.55,0.0347652378338795
54,Brasil,Bahamas,BHS,12886,70829,5.496585441564489,393244,24.85,0.03276845927719177
61,Brasil,Nova Caledônia,NCL,7227,11924,1.6499238964992389,285498,26.0,0.025313662442468948
57,Brasil,Malta,MLT,11095,35162,3.169175304191077,441543,19.2,0.025127790498320663
13,Brasil,Cuba,CUB,273697,309724,1.1316309641684053,11326616,25.2,0.02416405747312348
76,Brasil,Gibraltar,GIB,792,2953,3.728535353535354,33691,19.0,0.02350776171677896
55,Brasil,Cabo Verde,CPV,12625,50363,3.989148514851485,555987,23.3,0.022707365459983777
17,Brasil,Suíça,CHE,177400,956117,5.389611048478016,8654622,5.1,0.02049771786682307
7,Brasil,Reino Unido,GBR,1305329,4717554,3.614072773990312,67886011,8.45,0.019228247186301756
23,Brasil,Hong Kong,HKG,139761,415676,2.974191655755182,7496981,21.45,0.018642304148830044
71,Brasil,Antígua e Barbuda,ATG,1685,5872,3.4848664688427298,97929,25.85,0.017206343371217923
