ano,litros_exportados,valor_exportacao,litros_exportados_acc,valor_exportacao_acc
1970,136009,40500,136009,40500
1971,281305,83465,417314,123965
1972,381020,121097,798334,245062
1973,471270,174792,1269604,419854
1974,356985,185871,1626589,605725
1975,688183,269581,2314772,875306
1976,753885,296169,3068657,1171475
1977,999085,479276,4067742,1650751
1978,547585,305419,4615327,1956170
1979,4318073,2805489,8933400,4761659
1980,2823028,1715037,11756428,6476696
1981,743652,462930,12500080,6939626
1982,596404,377201,13096484,7316827
1983,650774,319645,13747258,7636472
1984,706873,333911,14454131,7970383
1985,1301867,665151,15755998,8635534
1986,2487576,1585073,18243574,10220607
1987,1035783,838814,19279357,11059421
1988,2147307,1656919,21426664,12716340
1989,4387918,3940676,25814582,16657016
1990,3435142,3608887,29249724,20265903
1991,4278453,4261560,33528177,24527463
1992,7448053,7552365,40976230,32079828
1993,20213415,14860591,61189645,46940419
1994,14857848,12744833,76047493,59685252
1995,14635329,12596412,90682822,72281664
1996,14465631,14956324,105148453,87237988
1997,15288335,15793866,120436788,103031854
1998,7750470,5512678,128187258,108544532
1999,6765937,4074292,134953195,112618824
2000,6288613,3463277,141241808,116082101
2001,2654582,1313229,143896390,117395330
2002,2250037,1082939,146146427,118478269
2003,1380445,672524,147526872,119150793
2004,2801995,1590613,150328867,120741406
2005,3529789,2566000,153858656,123307406
2006,3415316,2658107,157273972,125965513
2007,3281752,3686150,160555724,129651663
2008,10346323,7118100,170902047,136769763
2009,25514198,8940988,196416245,145710751
2010,1280574,2595303,197696819,148306054
2011,1214834,3615120,198911653,151921174
2012,5775376,5521293,204687029,157442467
2013,9149059,22744845,213836088,180187312
2014,2324029,7472795,216160117,187660107
2015,1198479,2769160,217358596,190429267
2016,1786549,4434704,219145145,194863971
2017,2889572,7135607,222034717,201999578
2018,3856162,7486063,225890879,209485641
2019,3152873,5934826,229043752,215420467
2020,4409717,6078288,233453469,221498755
2021,8058704,9851942,241512173,231350697
