ano,litros_exportados,valor_exportacao,litros_exportados_acc,valor_exportacao_acc
1970,0.136009,0.0405,0.136009,0.0405
1971,0.281305,0.083465,0.417314,0.123965
1972,0.38102,0.121097,0.798334,0.245062
1973,0.47127,0.174792,1.269604,0.419854
1974,0.356985,0.185871,1.626589,0.605725
1975,0.688183,0.269581,2.314772,0.875306
1976,0.753885,0.296169,3.068657,1.171475
1977,0.999085,0.479276,4.067742,1.650751
1978,0.547585,0.305419,4.615327,1.95617
1979,4.318073,2.805489,8.9334,4.761659
1980,2.823028,1.715037,11.756428,6.476696
1981,0.743652,0.46293,12.50008,6.939626
1982,0.596404,0.377201,13.096484,7.316827
1983,0.650774,0.319645,13.747258,7.636472
1984,0.706873,0.333911,14.454131,7.970383
1985,1.301867,0.665151,15.755998,8.635534
1986,2.487576,1.585073,18.243574,10.220607
1987,1.035783,0.838814,19.279357,11.059421
1988,2.147307,1.656919,21.426664,12.71634
1989,4.387918,3.940676,25.814582,16.657016
1990,3.435142,3.608887,29.249724,20.265903
1991,4.278453,4.26156,33.528177,24.527463
1992,7.448053,7.552365,40.97623,32.079828
1993,20.213415,14.860591,61.189645,46.940419
1994,14.857848,12.744833,76.047493,59.685252
1995,14.635329,12.596412,90.682822,72.281664
1996,14.465631,14.956324,105.148453,87.237988
1997,15.288335,15.793866,120.436788,103.031854
1998,7.75047,5.512678,128.187258,108.544532
1999,6.765937,4.074292,134.953195,112.618824
2000,6.288613,3.463277,141.241808,116.082101
2001,2.654582,1.313229,143.89639,117.39533
2002,2.250037,1.082939,146.146427,118.478269
2003,1.380445,0.672524,147.526872,119.150793
2004,2.801995,1.590613,150.328867,120.741406
2005,3.529789,2.566,153.858656,123.307406
2006,3.415316,2.658107,157.273972,125.965513
2007,3.281752,3.68615,160.555724,129.651663
2008,10.346323,7.1181,170.902047,136.769763
2009,25.514198,8.940988,196.416245,145.710751
2010,1.280574,2.595303,197.696819,148.306054
2011,1.214834,3.61512,198.911653,151.921174
2012,5.775376,5.521293,204.687029,157.442467
2013,9.149059,22.744845,213.836088,180.187312
2014,2.324029,7.472795,216.160117,187.660107
2015,1.198479,2.76916,217.358596,190.429267
2016,1.786549,4.434704,219.145145,194.863971
2017,2.889572,7.135607,222.034717,201.999578
2018,3.856162,7.486063,225.890879,209.485641
2019,3.152873,5.934826,229.043752,215.420467
2020,4.409717,6.078288,233.453469,221.498755
2021,8.058704,9.851942,241.512173,231.350697
